date, pm25, pm10, o3, no2, so2, co
5/19/2019,131,109,74,4,2,9
5/20/2019,126,101,19,6,2,9
5/21/2019,115,103,30,6,2,10
5/22/2019,132,105,25,7,2,9
5/23/2019,129,95,21,6,1,9
5/24/2019,97,99,22,8,2,9
5/25/2019,116,101,24,6,2,9
5/26/2019,115,97,25,7,3,9
5/27/2019,109,62,38,5,2,10
5/28/2019,96,79,50,9,2,10
5/29/2019,116,77,56,9,2,9
5/30/2019,111,59,33,5,2,9
5/31/2019,78,28,18,4,1,9
6/1/2019,41,21,19,2,1,9
6/2/2019,23,27,23,4,2,9
6/3/2019,53,49,25,7,1,10
6/4/2019,82,65,35,10,2,10
6/5/2019,112,79,43,10,2,11
6/6/2019,143,55,23,7,1,10
6/7/2019,76,47,15,4,2,9
6/8/2019,60,43,20,3,1,9
6/9/2019,48,57,26,5,3,9
6/10/2019,63,69,29,8,2,10
6/11/2019,82,79,43,9,2,10
6/12/2019,100,84,35,10,2,10
6/13/2019,118,78,21,6,2,10
6/14/2019,110,67,17,12,1,10
6/15/2019,103,78,29,8,1,10
6/16/2019,116,75,44,5,2,10
6/17/2019,113,92,34,9,1,10
6/18/2019,139,92,27,7,2,9
6/19/2019,113,95,33,12,2,10
6/20/2019,120,107,49,11,3,10
6/21/2019,132,114,39,10,2,10
6/22/2019,140,106,38,11,2,10
6/23/2019,125,73,40,7,5,8
6/24/2019,130,102,36,5,5,8
6/25/2019,143,70,39,5,6,5
6/26/2019,90,114,36,9,7,8
6/27/2019,121,103,37,7,6,7
6/28/2019,91,107,38,10,9,8
6/29/2019,115,102,44,10,7,6
6/30/2019,116,170,50,14,9,4
7/1/2019,166,191,51,17,11,6
7/2/2019,169,261,44,16,15,5
7/3/2019,205,147,43,12,11,3
7/4/2019,144,177,42,13,9,5
7/5/2019,150,220,45,18,12,8
7/6/2019,175,258,66,20,16,7
7/7/2019,211,146,42,14,11,6
7/8/2019,155,159,41,15,8,9
7/9/2019,108,277,29,18,11,6
7/10/2019,177,253,39,8,7,4
7/11/2019,133,100,35,9,6,5
7/12/2019,110,103,46,6,6,5
7/13/2019,107,117,51,5,7,5
7/14/2019,113,81,35,8,4,4
7/15/2019,72,127,49,13,10,3
7/16/2019,150,124,66,10,6,6
7/17/2019,143,155,88,14,9,5
7/18/2019,177,208,77,16,7,5
7/19/2019,177,112,54,13,8,5
